Time;HTI893
30/03/2018  13:17:17;24.065
30/03/2018  15:17:17;24.519
30/03/2018  17:15:17;24.633
30/03/2018  18:09:17;25.129
30/03/2018  19:47:17;24.706
30/03/2018  20:25:17;24.253
30/03/2018  22:25:17;23.950
31/03/2018  00:09:17;23.497
31/03/2018  02:09:17;23.043
31/03/2018  02:43:17;22.548
31/03/2018  04:31:17;22.094
31/03/2018  06:31:17;22.246
31/03/2018  08:29:17;22.433
31/03/2018  10:29:17;22.433
31/03/2018  11:43:17;21.980
31/03/2018  13:11:17;21.521
31/03/2018  13:51:17;21.031
31/03/2018  15:49:17;21.031
31/03/2018  15:53:17;21.219
31/03/2018  15:57:17;22.887
31/03/2018  16:07:17;27.558
31/03/2018  16:13:17;29.497
31/03/2018  16:19:17;31.333
31/03/2018  16:29:17;34.111
31/03/2018  16:39:17;35.978
31/03/2018  16:53:17;37.432
31/03/2018  17:05:17;38.694
31/03/2018  17:09:17;39.455
31/03/2018  17:33:17;40.837
31/03/2018  18:33:17;41.295
31/03/2018  19:01:17;40.837
31/03/2018  19:29:17;41.254
31/03/2018  19:51:17;42.484
31/03/2018  21:37:17;42.974
31/03/2018  22:01:17;43.402
31/03/2018  22:33:17;43.860
31/03/2018  23:27:17;44.517
01/04/2018  01:25:17;44.705
01/04/2018  01:45:17;45.122
01/04/2018  03:09:17;45.471
01/04/2018  03:53:17;45.013
01/04/2018  04:37:17;44.517
01/04/2018  06:37:17;44.554
01/04/2018  07:11:17;44.361
01/04/2018  07:43:17;43.902
01/04/2018  07:49:17;42.672
01/04/2018  07:57:17;41.598
01/04/2018  08:07:17;40.571
01/04/2018  08:17:17;40.034
01/04/2018  08:25:17;39.455
01/04/2018  08:35:17;38.996
01/04/2018  08:43:17;39.914
01/04/2018  09:05:17;41.645
01/04/2018  09:19:17;42.057
01/04/2018  09:33:17;42.828
01/04/2018  09:45:17;43.287
01/04/2018  09:59:17;43.746
01/04/2018  10:19:17;44.204
01/04/2018  10:43:17;44.554
01/04/2018  11:11:17;44.976
01/04/2018  11:57:17;45.435
01/04/2018  12:27:17;45.894
01/04/2018  14:03:17;46.352
01/04/2018  14:43:17;46.780
01/04/2018  16:07:17;47.119
01/04/2018  18:07:17;46.780
01/04/2018  20:07:17;46.660
01/04/2018  22:07:17;46.858
01/04/2018  22:41:17;46.467
01/04/2018  23:49:17;46.050
02/04/2018  01:49:17;45.894
02/04/2018  03:17:17;45.435
02/04/2018  05:13:17;45.013
02/04/2018  07:11:17;44.705
02/04/2018  08:43:17;45.164
02/04/2018  09:05:17;45.581
02/04/2018  10:03:17;46.050
02/04/2018  10:35:17;46.509
02/04/2018  11:43:17;46.968
02/04/2018  12:03:17;47.463
02/04/2018  12:57:17;47.890
02/04/2018  13:43:17;48.349
02/04/2018  15:43:17;48.662
02/04/2018  17:43:17;48.964
02/04/2018  19:43:17;49.157
02/04/2018  21:41:17;49.079
02/04/2018  23:41:17;49.272
03/04/2018  01:39:17;49.314
03/04/2018  03:37:17;49.423
03/04/2018  05:35:17;49.423
03/04/2018  07:35:17;49.616
03/04/2018  09:33:17;49.272
03/04/2018  11:33:17;49.157
03/04/2018  13:33:17;49.470
03/04/2018  15:31:17;49.470
03/04/2018  17:31:17;49.616
03/04/2018  19:21:17;50.075
03/04/2018  21:19:17;50.195
03/04/2018  23:19:17;50.043
04/04/2018  01:17:17;50.043
04/04/2018  02:19:17;49.579
04/04/2018  03:01:17;49.121
04/04/2018  05:01:17;49.616
04/04/2018  05:53:17;49.121
04/04/2018  07:51:17;49.423
04/04/2018  09:51:17;49.616
04/04/2018  11:51:17;49.579
04/04/2018  12:53:17;50.075
04/04/2018  14:51:17;50.346
04/04/2018  16:51:17;50.502
04/04/2018  18:13:17;50.075
04/04/2018  20:11:17;49.929
04/04/2018  21:27:17;49.579
04/04/2018  22:25:17;49.272
05/04/2018  00:25:17;49.423
05/04/2018  02:25:17;49.121
05/04/2018  03:53:17;48.771
05/04/2018  05:41:17;48.349
05/04/2018  06:45:17;47.890
05/04/2018  07:59:17;47.395
05/04/2018  08:55:17;47.854
05/04/2018  09:11:17;48.313
05/04/2018  09:33:17;48.808
05/04/2018  10:57:17;49.272
05/04/2018  11:37:17;49.694
05/04/2018  13:31:17;50.043
05/04/2018  14:47:17;50.466
05/04/2018  16:09:17;50.122
05/04/2018  17:17:17;49.658
05/04/2018  19:17:17;49.345
05/04/2018  21:13:17;48.928
05/04/2018  22:35:17;48.464
06/04/2018  00:33:17;48.000
06/04/2018  02:31:17;47.697
06/04/2018  04:31:17;47.395
06/04/2018  06:29:17;47.812
06/04/2018  08:01:17;47.395
06/04/2018  09:59:17;47.541
06/04/2018  10:29:17;47.890
06/04/2018  10:51:17;48.193
06/04/2018  11:47:17;48.662
06/04/2018  12:37:17;49.079
06/04/2018  13:01:17;49.470
06/04/2018  14:23:17;49.887
06/04/2018  16:23:17;49.929
06/04/2018  18:21:17;49.887
06/04/2018  19:17:17;49.423
06/04/2018  21:15:17;49.001
06/04/2018  22:51:17;48.506
07/04/2018  00:37:17;48.078
07/04/2018  02:13:17;47.619
07/04/2018  04:11:17;47.463
07/04/2018  05:11:17;47.890
07/04/2018  07:01:17;48.234
07/04/2018  07:47:17;48.662
07/04/2018  08:49:17;49.157
07/04/2018  10:47:17;48.964
07/04/2018  12:47:17;49.314
07/04/2018  13:59:17;48.964
07/04/2018  14:09:17;47.697
07/04/2018  14:29:17;46.509
07/04/2018  14:49:17;46.087
07/04/2018  15:09:17;45.701
07/04/2018  15:37:17;45.278
07/04/2018  16:03:17;44.856
07/04/2018  16:19:17;45.278
07/04/2018  16:31:17;45.894
07/04/2018  16:41:17;46.352
07/04/2018  16:57:17;47.160
07/04/2018  17:21:17;47.583
07/04/2018  17:53:17;48.000
07/04/2018  19:51:17;48.313
07/04/2018  21:49:17;48.506
07/04/2018  23:49:17;48.506
08/04/2018  01:47:17;48.964
08/04/2018  03:45:17;49.423
08/04/2018  05:45:17;49.579
08/04/2018  07:43:17;49.579
08/04/2018  09:43:17;49.272
