Time;HPDIC059
29/04/2018  20:25:59;0.975
29/04/2018  22:25:51;0.991
30/04/2018  00:25:43;1.022
30/04/2018  02:25:35;1.024
30/04/2018  04:25:27;1.018
30/04/2018  06:25:19;0.972
30/04/2018  08:25:11;0.982
30/04/2018  10:25:03;0.996
30/04/2018  12:24:55;1.021
30/04/2018  14:24:47;1.008
30/04/2018  16:24:39;1.040
30/04/2018  18:24:31;1.022
30/04/2018  20:24:23;1.019
30/04/2018  22:24:15;0.982
01/05/2018  00:24:07;1.029
01/05/2018  02:23:59;0.980
01/05/2018  04:23:51;1.014
01/05/2018  06:23:43;0.997
01/05/2018  08:23:35;0.971
01/05/2018  10:23:27;0.992
01/05/2018  12:23:19;0.962
01/05/2018  14:23:11;1.015
01/05/2018  16:23:03;0.984
01/05/2018  18:22:55;0.979
01/05/2018  20:22:47;0.998
01/05/2018  22:22:39;1.000
02/05/2018  00:22:31;1.011
02/05/2018  02:22:23;0.987
02/05/2018  04:22:15;0.998
02/05/2018  06:22:07;1.003
02/05/2018  08:21:59;1.020
02/05/2018  10:21:51;1.029
02/05/2018  12:21:43;0.987
02/05/2018  14:21:35;1.025
02/05/2018  16:21:27;1.018
02/05/2018  18:21:19;1.003
02/05/2018  20:21:11;0.986
02/05/2018  22:21:03;0.986
03/05/2018  00:20:55;0.999
03/05/2018  02:20:47;1.020
03/05/2018  04:20:39;0.969
03/05/2018  06:20:31;1.005
03/05/2018  08:20:23;1.005
03/05/2018  10:20:15;0.970
03/05/2018  12:20:07;1.020
03/05/2018  14:19:59;0.971
03/05/2018  16:19:51;1.005
03/05/2018  18:19:43;0.981
03/05/2018  20:19:35;1.024
03/05/2018  22:19:27;0.997
04/05/2018  00:19:19;0.995
04/05/2018  02:19:11;0.995
04/05/2018  04:19:03;1.010
04/05/2018  06:18:55;1.000
04/05/2018  08:18:47;1.010
04/05/2018  10:18:39;1.003
04/05/2018  12:18:31;1.009
04/05/2018  14:18:23;0.981
04/05/2018  16:18:15;0.984
04/05/2018  18:18:07;1.003
04/05/2018  20:17:59;1.018
04/05/2018  22:17:51;1.015
05/05/2018  00:17:43;1.007
05/05/2018  02:17:35;0.995
05/05/2018  04:17:27;1.003
05/05/2018  06:17:19;1.006
05/05/2018  08:17:11;1.009
05/05/2018  10:17:03;0.994
05/05/2018  12:16:55;0.967
05/05/2018  14:16:47;1.004
05/05/2018  16:16:39;0.997
05/05/2018  18:16:31;0.988
05/05/2018  20:16:23;0.993
05/05/2018  22:16:15;0.998
06/05/2018  00:16:07;1.004
06/05/2018  02:15:59;0.996
06/05/2018  04:15:51;1.003
06/05/2018  06:15:43;0.998
