
Time;HTI889I
07/04/2019  09:39:03;57.358
07/04/2019  09:59:03;57.473
07/04/2019  10:03:03;57.316
07/04/2019  10:05:03;58.088
07/04/2019  10:57:03;57.978
07/04/2019  10:59:03;58.588
07/04/2019  11:01:03;58.088
07/04/2019  11:31:03;57.978
07/04/2019  13:29:03;58.124
07/04/2019  13:59:03;58.166
07/04/2019  14:01:03;57.514
07/04/2019  14:03:03;58.124
07/04/2019  14:07:03;58.166
07/04/2019  14:09:03;57.551
07/04/2019  14:19:03;57.853
07/04/2019  15:15:03;57.931
07/04/2019  15:17:03;57.202
07/04/2019  15:19:03;57.978
07/04/2019  15:23:03;57.978
07/04/2019  15:25:03;57.358
07/04/2019  15:27:03;57.978
07/04/2019  15:31:03;57.978
07/04/2019  15:33:03;57.358
07/04/2019  15:45:03;57.665
07/04/2019  16:03:03;57.514
07/04/2019  17:25:03;57.629
07/04/2019  17:27:03;57.009
07/04/2019  17:29:03;57.665
07/04/2019  17:33:03;57.514
07/04/2019  18:31:03;57.473
07/04/2019  18:39:03;57.629
07/04/2019  18:41:03;56.852
07/04/2019  18:43:03;57.473
07/04/2019  18:47:03;57.473
07/04/2019  18:49:03;56.852
07/04/2019  18:51:03;57.473
07/04/2019  18:53:03;56.852
07/04/2019  18:55:03;57.473
07/04/2019  18:57:03;56.894
07/04/2019  19:01:03;57.202
07/04/2019  20:37:03;57.087
07/04/2019  20:39:03;57.707
07/04/2019  20:45:03;57.087
07/04/2019  20:47:03;57.707
07/04/2019  20:51:03;57.551
07/04/2019  20:53:03;56.894
07/04/2019  20:55:03;57.665
07/04/2019  20:57:03;57.045
07/04/2019  20:59:03;57.665
07/04/2019  21:01:03;57.045
07/04/2019  21:03:03;57.665
07/04/2019  22:49:03;57.551
07/04/2019  22:51:03;57.045
07/04/2019  22:53:03;57.707
07/04/2019  22:55:03;57.087
07/04/2019  22:59:03;57.243
07/04/2019  23:01:03;57.744
07/04/2019  23:03:03;56.930
08/04/2019  01:03:03;56.930
08/04/2019  01:05:03;57.551
08/04/2019  01:09:03;57.551
08/04/2019  01:11:03;56.774
08/04/2019  01:13:03;57.394
08/04/2019  01:23:03;56.774
08/04/2019  01:31:03;57.087
08/04/2019  02:21:03;57.514
08/04/2019  04:19:03;57.707
08/04/2019  06:17:03;57.551
08/04/2019  08:17:03;57.707
08/04/2019  09:39:03;58.057
08/04/2019  10:29:03;58.202
08/04/2019  10:35:03;58.630
08/04/2019  12:35:03;58.630
08/04/2019  14:25:03;58.666
08/04/2019  14:37:03;58.979
08/04/2019  15:25:03;58.630
08/04/2019  15:27:03;57.587
08/04/2019  15:37:03;57.243
08/04/2019  17:17:03;56.972
08/04/2019  17:19:03;56.008
08/04/2019  17:21:03;51.733
08/04/2019  17:23:03;49.851
08/04/2019  17:33:03;45.701
08/04/2019  17:37:03;44.476
08/04/2019  17:55:03;42.176
08/04/2019  18:19:03;39.877
08/04/2019  18:27:03;38.996
08/04/2019  18:33:03;38.506
08/04/2019  19:27:03;34.716
08/04/2019  19:37:03;34.226
08/04/2019  19:53:03;33.345
08/04/2019  20:07:03;32.855
08/04/2019  20:09:03;32.698
08/04/2019  20:13:03;48.125
08/04/2019  20:15:03;49.997
08/04/2019  20:19:03;50.773
08/04/2019  20:21:03;50.773
08/04/2019  20:25:03;51.545
08/04/2019  20:27:03;51.660
08/04/2019  20:29:03;52.885
08/04/2019  20:31:03;53.041
08/04/2019  20:33:03;53.849
08/04/2019  20:37:03;53.693
08/04/2019  20:39:03;55.121
08/04/2019  20:47:03;56.503
08/04/2019  20:53:03;56.503
08/04/2019  20:55:03;55.580
08/04/2019  20:59:03;56.816
08/04/2019  21:29:03;57.087
08/04/2019  21:37:03;57.436
08/04/2019  21:39:03;56.472
08/04/2019  21:43:03;57.551
08/04/2019  21:49:03;57.551
08/04/2019  21:51:03;56.972
08/04/2019  21:53:03;56.972
08/04/2019  21:55:03;57.744
08/04/2019  21:57:03;57.587
08/04/2019  21:59:03;56.816
08/04/2019  22:03:03;57.744
08/04/2019  22:09:03;57.744
08/04/2019  22:11:03;56.628
08/04/2019  22:15:03;57.707
08/04/2019  22:21:03;57.707
08/04/2019  22:23:03;57.087
08/04/2019  22:25:03;57.087
08/04/2019  22:27:03;57.707
08/04/2019  22:31:03;56.930
08/04/2019  22:33:03;57.744
08/04/2019  22:41:03;57.394
08/04/2019  22:49:03;57.587
08/04/2019  23:07:03;57.436
08/04/2019  23:09:03;58.202
08/04/2019  23:11:03;58.057
08/04/2019  23:13:03;57.394
08/04/2019  23:19:03;57.394
08/04/2019  23:21:03;58.010
08/04/2019  23:25:03;57.394
08/04/2019  23:27:03;58.057
08/04/2019  23:29:03;58.010
08/04/2019  23:31:03;57.243
08/04/2019  23:33:03;58.057
08/04/2019  23:41:03;57.931
08/04/2019  23:43:03;57.280
08/04/2019  23:45:03;58.057
09/04/2019  00:09:03;58.166
09/04/2019  00:11:03;57.551
09/04/2019  00:13:03;58.202
09/04/2019  01:03:03;58.166
09/04/2019  01:05:03;58.786
09/04/2019  01:07:03;58.281
09/04/2019  01:13:03;58.328
09/04/2019  01:41:03;58.437
09/04/2019  01:53:03;58.588
09/04/2019  01:57:03;58.474
09/04/2019  01:59:03;59.094
09/04/2019  02:01:03;58.474
09/04/2019  02:19:03;58.786
09/04/2019  02:41:03;58.823
09/04/2019  02:43:03;58.166
09/04/2019  02:45:03;58.938
09/04/2019  02:55:03;58.666
09/04/2019  03:07:03;58.938
09/04/2019  03:09:03;58.166
09/04/2019  03:11:03;58.786
09/04/2019  03:27:03;58.786
09/04/2019  03:29:03;58.166
09/04/2019  03:33:03;58.786
09/04/2019  03:35:03;58.166
09/04/2019  03:37:03;58.786
09/04/2019  03:43:03;58.823
09/04/2019  03:45:03;58.202
09/04/2019  03:51:03;58.666
09/04/2019  03:53:03;58.823
09/04/2019  03:55:03;58.057
09/04/2019  03:57:03;58.823
09/04/2019  04:01:03;58.202
09/04/2019  04:03:03;58.979
09/04/2019  04:05:03;58.328
09/04/2019  05:11:03;58.202
09/04/2019  05:59:03;58.359
09/04/2019  07:31:03;58.328
09/04/2019  07:33:03;58.938
09/04/2019  07:35:03;58.359
09/04/2019  08:47:03;58.474
09/04/2019  09:11:03;58.474
09/04/2019  09:13:03;59.094
09/04/2019  09:15:03;58.938
09/04/2019  09:17:03;58.281
09/04/2019  09:19:03;59.057
09/04/2019  09:21:03;58.437
09/04/2019  09:27:03;58.630
09/04/2019  09:37:03;58.823
09/04/2019  10:01:03;58.865
09/04/2019  10:15:03;58.708
09/04/2019  10:17:03;59.480
09/04/2019  10:19:03;58.979
09/04/2019  10:49:03;58.979
09/04/2019  10:51:03;59.636
09/04/2019  11:01:03;59.558
09/04/2019  11:03:03;58.938
09/04/2019  11:05:03;59.443
09/04/2019  11:39:03;59.402
09/04/2019  11:41:03;58.901
09/04/2019  11:43:03;59.558
09/04/2019  11:53:03;59.365
09/04/2019  12:51:03;59.130
09/04/2019  12:53:03;59.902
09/04/2019  12:55:03;59.250
09/04/2019  13:01:03;59.250
09/04/2019  13:03:03;59.871
09/04/2019  13:07:03;59.287
09/04/2019  13:09:03;59.902
09/04/2019  13:15:03;59.871
09/04/2019  13:17:03;59.250
09/04/2019  13:19:03;59.824
09/04/2019  13:23:03;59.250
09/04/2019  13:25:03;60.017
09/04/2019  13:27:03;59.402
09/04/2019  13:35:03;59.600
09/04/2019  14:15:03;59.600
09/04/2019  14:17:03;58.938
09/04/2019  14:19:03;59.558
09/04/2019  14:27:03;59.130
09/04/2019  14:39:03;59.287
09/04/2019  15:43:03;59.329
09/04/2019  15:45:03;58.708
09/04/2019  15:47:03;59.443
09/04/2019  15:53:03;59.130
09/04/2019  16:09:03;58.938
09/04/2019  16:19:03;58.938
