
Time;HTI892B
25/04/2018  00:54:56;36.207
25/04/2018  00:56:56;36.364
25/04/2018  01:08:56;41.410
25/04/2018  01:12:56;43.709
25/04/2018  01:18:56;45.894
25/04/2018  01:20:56;47.697
25/04/2018  01:26:56;48.000
25/04/2018  01:38:56;50.309
25/04/2018  01:40:56;49.887
25/04/2018  01:42:56;48.506
25/04/2018  02:14:56;49.851
25/04/2018  04:12:56;50.043
25/04/2018  06:10:56;50.309
25/04/2018  08:08:56;50.466
25/04/2018  10:06:56;50.309
25/04/2018  12:06:56;50.502
25/04/2018  14:06:56;50.466
25/04/2018  16:04:56;50.466
25/04/2018  18:04:56;50.659
25/04/2018  20:02:56;50.502
25/04/2018  22:00:56;50.309
26/04/2018  00:00:56;49.997
26/04/2018  02:00:56;50.309
26/04/2018  03:58:56;50.195
26/04/2018  05:58:56;50.309
26/04/2018  07:56:56;50.153
26/04/2018  09:56:56;50.346
26/04/2018  11:54:56;50.195
26/04/2018  13:52:56;50.231
26/04/2018  15:52:56;50.659
26/04/2018  17:52:56;50.346
26/04/2018  19:50:56;50.268
26/04/2018  21:50:56;50.346
26/04/2018  23:48:56;50.153
27/04/2018  01:48:56;49.997
27/04/2018  03:48:56;49.997
27/04/2018  05:46:56;49.851
27/04/2018  07:46:56;49.731
27/04/2018  09:44:56;49.694
27/04/2018  11:42:56;49.887
27/04/2018  13:40:56;49.851
27/04/2018  15:40:56;49.997
27/04/2018  17:40:56;49.965
27/04/2018  19:38:56;49.965
27/04/2018  21:36:56;49.929
27/04/2018  23:36:56;49.929
28/04/2018  01:36:56;50.122
28/04/2018  03:34:56;49.851
28/04/2018  05:32:56;49.809
28/04/2018  07:32:56;49.809
28/04/2018  09:30:56;49.658
28/04/2018  11:30:56;50.153
28/04/2018  13:30:56;50.195
28/04/2018  15:28:56;50.309
28/04/2018  17:26:56;50.309
28/04/2018  19:26:56;50.502
28/04/2018  21:10:56;50.153
28/04/2018  23:08:56;49.887
29/04/2018  01:08:56;49.887
29/04/2018  03:06:56;49.887
29/04/2018  05:06:56;50.043
29/04/2018  07:04:56;49.887
29/04/2018  09:04:56;50.195
29/04/2018  11:02:56;50.043
29/04/2018  13:02:56;50.195
29/04/2018  15:00:56;50.195
29/04/2018  17:00:56;50.043
29/04/2018  18:58:56;50.153
29/04/2018  20:56:56;49.694
29/04/2018  21:38:56;50.043
29/04/2018  23:36:56;49.851
30/04/2018  01:36:56;49.731
30/04/2018  03:34:56;49.579
30/04/2018  05:34:56;49.579
30/04/2018  07:32:56;49.929
30/04/2018  09:32:56;49.929
30/04/2018  11:30:56;49.731
30/04/2018  13:30:56;49.272
30/04/2018  14:06:56;49.731
30/04/2018  16:04:56;49.345
30/04/2018  17:04:56;49.538
30/04/2018  19:04:56;49.658
30/04/2018  20:26:56;50.043
30/04/2018  22:24:56;49.772
01/05/2018  00:24:56;49.731
01/05/2018  02:22:56;49.470
01/05/2018  04:22:56;49.658
01/05/2018  05:48:56;49.235
01/05/2018  07:46:56;49.235
01/05/2018  09:46:56;49.272
01/05/2018  11:40:56;49.579
01/05/2018  13:40:56;49.731
01/05/2018  15:40:56;49.851
01/05/2018  17:34:56;49.392
01/05/2018  19:34:56;49.345
01/05/2018  21:34:56;49.157
01/05/2018  23:32:56;49.345
02/05/2018  01:30:56;49.199
02/05/2018  03:28:56;49.199
02/05/2018  05:26:56;49.199
02/05/2018  07:26:56;49.199
02/05/2018  09:24:56;49.157
02/05/2018  11:24:56;48.886
02/05/2018  13:22:56;48.886
02/05/2018  15:20:57;49.199
02/05/2018  17:20:56;49.199
02/05/2018  19:20:56;49.501
02/05/2018  21:18:56;49.345
02/05/2018  23:18:56;49.392
03/05/2018  01:16:56;49.658
03/05/2018  03:16:56;49.392
03/05/2018  05:14:56;49.616
03/05/2018  07:14:56;49.501
03/05/2018  09:12:56;49.658
03/05/2018  11:12:56;49.772
03/05/2018  13:10:56;49.616
03/05/2018  15:10:56;49.658
03/05/2018  17:08:56;49.538
03/05/2018  19:08:56;49.423
03/05/2018  21:06:56;49.772
03/05/2018  23:06:56;49.658
04/05/2018  01:06:56;49.579
04/05/2018  03:04:56;49.579
04/05/2018  05:02:56;49.501
04/05/2018  06:26:56;49.887
04/05/2018  08:24:56;50.043
04/05/2018  10:22:56;50.195
04/05/2018  10:42:56;49.851
04/05/2018  11:56:56;49.423
04/05/2018  13:42:56;49.579
04/05/2018  15:42:56;49.887
04/05/2018  17:42:56;49.731
04/05/2018  19:40:56;50.153
04/05/2018  20:34:56;49.731
04/05/2018  22:34:56;49.772
05/05/2018  00:34:56;49.731
05/05/2018  02:32:56;49.887
05/05/2018  04:32:56;49.731
05/05/2018  06:30:56;49.579
05/05/2018  08:30:56;49.929
05/05/2018  10:28:56;50.075
05/05/2018  12:28:56;49.887
05/05/2018  14:26:56;49.731
05/05/2018  16:26:56;49.772
05/05/2018  18:24:56;50.075
05/05/2018  20:24:56;50.043
05/05/2018  22:24:56;49.887
06/05/2018  00:22:56;49.731
06/05/2018  02:22:56;49.929
06/05/2018  04:20:56;49.929
06/05/2018  06:20:56;49.772
06/05/2018  08:20:56;49.929
06/05/2018  10:18:56;50.231
06/05/2018  12:16:56;50.231
06/05/2018  13:02:56;49.887
06/05/2018  15:00:56;49.772
06/05/2018  17:00:56;49.929
06/05/2018  18:58:56;49.887
06/05/2018  20:58:56;49.851
06/05/2018  22:58:56;49.731
07/05/2018  00:58:56;50.075
07/05/2018  02:34:56;49.772
07/05/2018  04:32:56;50.075
07/05/2018  06:32:56;49.772
07/05/2018  07:26:56;50.195
07/05/2018  09:26:56;50.043
07/05/2018  11:26:56;50.075
07/05/2018  13:26:56;50.075
07/05/2018  15:26:56;50.075
07/05/2018  17:26:56;50.075
07/05/2018  19:26:56;49.929
07/05/2018  20:36:56;50.346
07/05/2018  22:36:56;50.231
08/05/2018  00:36:56;50.075
08/05/2018  02:34:56;50.309
08/05/2018  04:08:56;49.887
08/05/2018  06:06:56;50.043
08/05/2018  08:06:56;49.731
08/05/2018  10:04:56;49.579
08/05/2018  11:20:56;50.075
08/05/2018  13:20:56;49.997
08/05/2018  15:20:56;49.538
08/05/2018  16:04:56;49.851
08/05/2018  16:44:56;50.309
08/05/2018  17:20:56;49.997
08/05/2018  19:20:56;49.887
08/05/2018  21:18:56;50.122
08/05/2018  23:18:56;49.658
09/05/2018  01:16:56;49.694
09/05/2018  03:16:56;49.851
09/05/2018  05:14:56;49.694
09/05/2018  07:14:56;49.694
09/05/2018  09:12:56;49.887
09/05/2018  11:12:56;50.043
09/05/2018  13:10:56;50.075
09/05/2018  15:10:56;50.195
09/05/2018  16:18:56;49.731
09/05/2018  18:16:56;49.538
09/05/2018  20:16:56;49.579
