
Time;HVI878Y
10/05/2018  21:35:09;6.059
10/05/2018  23:35:07;6.059
11/05/2018  01:35:05;6.004
11/05/2018  03:35:03;6.075
11/05/2018  05:35:01;6.125
11/05/2018  07:34:59;6.070
11/05/2018  09:34:57;5.897
11/05/2018  11:34:55;5.962
11/05/2018  13:34:53;5.874
11/05/2018  15:34:51;6.059
11/05/2018  17:34:49;6.043
11/05/2018  19:34:47;5.832
11/05/2018  21:34:45;6.108
11/05/2018  23:34:43;6.075
12/05/2018  01:34:41;6.198
12/05/2018  03:34:39;6.108
12/05/2018  05:34:37;6.070
12/05/2018  07:34:35;5.875
12/05/2018  09:34:33;5.929
12/05/2018  11:34:31;5.955
12/05/2018  13:34:29;5.728
12/05/2018  15:34:27;5.767
12/05/2018  17:34:25;5.921
12/05/2018  19:34:23;5.945
12/05/2018  21:34:21;5.864
12/05/2018  23:34:19;5.906
13/05/2018  01:34:17;6.070
13/05/2018  03:34:15;6.124
13/05/2018  05:34:13;5.929
13/05/2018  07:34:11;5.955
13/05/2018  09:34:09;6.005
13/05/2018  11:34:07;5.825
13/05/2018  13:34:05;5.832
13/05/2018  15:34:03;5.825
13/05/2018  17:34:01;5.686
13/05/2018  19:33:59;6.133
13/05/2018  21:33:57;6.026
13/05/2018  23:33:55;6.133
14/05/2018  01:33:53;6.068
14/05/2018  03:33:51;5.913
14/05/2018  05:33:49;5.913
14/05/2018  07:33:47;5.809
14/05/2018  09:33:45;5.866
14/05/2018  11:33:43;5.816
14/05/2018  13:33:41;5.736
14/05/2018  15:33:39;5.987
14/05/2018  17:33:37;5.978
14/05/2018  19:33:35;6.043
14/05/2018  21:33:33;6.026
14/05/2018  23:33:31;5.887
15/05/2018  01:33:29;6.004
15/05/2018  03:33:27;5.709
15/05/2018  05:33:25;5.637
15/05/2018  07:33:23;5.822
15/05/2018  09:33:21;5.913
15/05/2018  11:33:19;5.794
15/05/2018  13:33:17;5.848
15/05/2018  15:33:15;5.769
15/05/2018  17:33:13;5.929
15/05/2018  19:33:11;6.043
15/05/2018  21:33:09;5.864
15/05/2018  23:33:07;5.848
16/05/2018  01:33:05;5.856
16/05/2018  03:33:03;5.955
16/05/2018  05:33:01;5.825
16/05/2018  07:32:59;5.874
16/05/2018  09:32:57;5.989
16/05/2018  11:32:55;5.923
16/05/2018  13:32:53;5.962
16/05/2018  15:32:51;5.906
16/05/2018  17:32:49;5.874
16/05/2018  19:32:47;5.913
16/05/2018  21:32:45;6.028
16/05/2018  23:32:43;5.898
17/05/2018  01:32:41;5.897
17/05/2018  03:32:39;5.313
17/05/2018  05:32:37;5.417
17/05/2018  07:32:35;5.243
17/05/2018  09:32:33;5.331
17/05/2018  11:32:31;5.216
17/05/2018  13:32:29;5.167
17/05/2018  15:32:27;5.169
17/05/2018  17:32:25;5.248
17/05/2018  19:32:23;5.313
17/05/2018  21:32:21;5.167
17/05/2018  23:32:19;5.371
18/05/2018  01:32:17;5.339
18/05/2018  03:32:15;5.404
18/05/2018  05:32:13;5.410
18/05/2018  07:32:11;5.242
18/05/2018  09:32:09;5.167
18/05/2018  11:32:07;5.313
18/05/2018  13:32:05;5.264
18/05/2018  15:32:03;5.248
18/05/2018  16:32:02;5.313
18/05/2018  16:33:03;6.117
18/05/2018  16:34:04;5.232
18/05/2018  16:42:12;5.436
18/05/2018  16:54:24;5.475
18/05/2018  18:03:32;5.702
18/05/2018  18:28:57;6.440
18/05/2018  20:28:55;6.831
18/05/2018  22:28:53;6.686
19/05/2018  00:28:51;6.618
19/05/2018  02:28:49;6.691
19/05/2018  04:28:47;6.798
19/05/2018  06:23:40;6.124
19/05/2018  06:30:47;5.404
19/05/2018  08:30:45;5.037
19/05/2018  10:30:43;5.313
19/05/2018  12:30:41;5.272
19/05/2018  14:30:39;5.264
19/05/2018  16:30:37;5.128
19/05/2018  18:30:35;5.344
19/05/2018  20:30:33;5.362
19/05/2018  22:30:31;5.451
20/05/2018  00:30:29;5.263
20/05/2018  02:30:27;5.420
20/05/2018  04:30:25;5.542
20/05/2018  06:30:23;5.459
20/05/2018  08:30:21;5.345
20/05/2018  10:30:19;5.258
20/05/2018  12:30:17;5.323
20/05/2018  14:30:15;5.290
20/05/2018  16:30:13;5.118
20/05/2018  18:30:11;5.281
20/05/2018  20:30:09;5.258
20/05/2018  22:30:07;5.329
21/05/2018  00:30:05;5.323
21/05/2018  02:30:03;5.151
21/05/2018  04:30:01;5.491
21/05/2018  06:29:59;5.452
21/05/2018  08:29:57;5.290
21/05/2018  10:29:55;5.443
21/05/2018  12:29:53;5.355
21/05/2018  14:29:51;5.420
21/05/2018  16:29:49;5.418
21/05/2018  18:29:47;5.394
21/05/2018  20:29:45;5.550
21/05/2018  22:29:43;5.475
22/05/2018  00:29:41;5.329
22/05/2018  02:29:39;5.248
22/05/2018  04:29:37;5.345
22/05/2018  06:29:35;5.355
22/05/2018  08:29:33;5.200
22/05/2018  10:29:31;5.274
22/05/2018  12:29:29;5.232
22/05/2018  14:29:27;5.206
22/05/2018  16:29:25;5.216
22/05/2018  18:29:23;5.200
22/05/2018  20:29:21;5.152
22/05/2018  22:29:19;5.297
23/05/2018  00:29:17;5.264
23/05/2018  02:29:15;5.151
23/05/2018  04:29:13;5.313
23/05/2018  06:29:11;5.216
23/05/2018  08:29:09;5.055
23/05/2018  10:29:07;5.079
23/05/2018  12:29:05;5.232
23/05/2018  14:29:03;5.272
23/05/2018  16:29:01;5.225
23/05/2018  18:28:59;5.232
23/05/2018  20:28:57;5.242
