
"Time";"HTI886";
"15/03/2018  19:29:53";"70,629";
"15/03/2018  19:31:53";"69,859";
"15/03/2018  19:47:53";"69,698";
"15/03/2018  19:49:53";"70,629";
"15/03/2018  19:51:53";"70,005";
"15/03/2018  19:53:53";"70,785";
"15/03/2018  19:55:53";"69,971";
"15/03/2018  20:15:53";"69,971";
"15/03/2018  20:17:53";"70,595";
"15/03/2018  20:21:53";"70,629";
"15/03/2018  20:23:53";"69,971";
"15/03/2018  20:33:53";"70,005";
"15/03/2018  20:35:53";"69,386";
"15/03/2018  20:37:53";"70,322";
"15/03/2018  20:39:53";"69,698";
"15/03/2018  20:45:53";"70,005";
"15/03/2018  21:01:53";"69,971";
"15/03/2018  21:03:53";"69,347";
"15/03/2018  21:07:53";"70,278";
"15/03/2018  21:29:53";"70,122";
"15/03/2018  21:35:53";"70,122";
"15/03/2018  21:37:53";"69,508";
"15/03/2018  21:39:53";"70,322";
"15/03/2018  21:49:53";"70,166";
"15/03/2018  21:51:53";"69,386";
"15/03/2018  21:53:53";"70,473";
"15/03/2018  21:59:53";"70,122";
"15/03/2018  22:01:53";"69,508";
"15/03/2018  22:03:53";"70,122";
"15/03/2018  22:27:53";"70,166";
"15/03/2018  22:29:53";"69,542";
"15/03/2018  22:47:53";"70,473";
"15/03/2018  22:49:53";"69,659";
"15/03/2018  22:51:53";"70,322";
"15/03/2018  22:57:53";"69,859";
"15/03/2018  22:59:53";"69,542";
"15/03/2018  23:01:53";"70,473";
"15/03/2018  23:05:53";"69,815";
"15/03/2018  23:09:53";"69,542";
"15/03/2018  23:11:53";"70,473";
"15/03/2018  23:15:53";"70,434";
"15/03/2018  23:17:53";"69,815";
"15/03/2018  23:19:53";"70,322";
"15/03/2018  23:23:53";"69,815";
"16/03/2018  01:23:53";"69,386";
"16/03/2018  01:25:53";"70,005";
"16/03/2018  01:49:53";"69,971";
"16/03/2018  01:51:53";"69,347";
"16/03/2018  02:03:53";"70,122";
"16/03/2018  02:17:53";"70,166";
"16/03/2018  02:21:53";"69,235";
"16/03/2018  02:23:53";"70,166";
"16/03/2018  02:29:53";"70,322";
"16/03/2018  02:31:53";"69,659";
"16/03/2018  02:33:53";"70,166";
"16/03/2018  02:39:53";"69,971";
"16/03/2018  02:43:53";"70,166";
"16/03/2018  02:45:53";"69,386";
"16/03/2018  02:51:53";"69,698";
"16/03/2018  03:45:53";"69,698";
"16/03/2018  03:47:53";"69,079";
"16/03/2018  03:51:53";"69,859";
