
"Time";"HTI889G";
"14/04/2018  17:48:56";"53,119";
"14/04/2018  19:48:56";"52,885";
"14/04/2018  21:48:56";"53,276";
"14/04/2018  23:46:56";"53,119";
"15/04/2018  01:44:56";"53,312";
"15/04/2018  03:42:56";"53,312";
"15/04/2018  05:42:56";"53,156";
"15/04/2018  07:40:56";"53,156";
"15/04/2018  09:38:56";"53,276";
"15/04/2018  11:36:56";"53,119";
"15/04/2018  12:32:56";"53,312";
"15/04/2018  14:32:56";"53,578";
"15/04/2018  16:32:56";"53,198";
"15/04/2018  18:32:56";"53,463";
"15/04/2018  20:32:56";"53,276";
"15/04/2018  22:30:56";"53,156";
"16/04/2018  00:28:56";"53,083";
"16/04/2018  02:28:56";"53,119";
"16/04/2018  04:26:56";"53,041";
"16/04/2018  06:26:56";"53,276";
"16/04/2018  08:14:56";"52,812";
"16/04/2018  09:02:56";"53,276";
"16/04/2018  11:02:56";"52,963";
"16/04/2018  13:00:56";"53,276";
"16/04/2018  14:58:56";"53,422";
"16/04/2018  16:42:56";"53,041";
"16/04/2018  18:40:56";"53,083";
"16/04/2018  20:40:56";"52,812";
"16/04/2018  22:40:56";"53,276";
"17/04/2018  00:38:56";"53,119";
"17/04/2018  02:36:56";"52,963";
"17/04/2018  04:34:56";"52,812";
"17/04/2018  06:34:56";"52,848";
"17/04/2018  08:34:56";"52,655";
"17/04/2018  10:32:56";"52,963";
"17/04/2018  12:32:56";"52,885";
"17/04/2018  14:32:56";"53,276";
"17/04/2018  16:32:56";"53,312";
"17/04/2018  18:32:56";"53,119";
"17/04/2018  20:30:56";"53,005";
"17/04/2018  22:30:56";"53,005";
"18/04/2018  00:28:56";"52,963";
"18/04/2018  02:26:56";"52,770";
"18/04/2018  04:26:56";"52,655";
"18/04/2018  06:26:56";"52,812";
"18/04/2018  08:24:56";"52,499";
"18/04/2018  09:12:56";"52,963";
"18/04/2018  11:12:56";"52,848";
"18/04/2018  13:10:56";"52,812";
"18/04/2018  15:08:56";"52,927";
"18/04/2018  17:08:56";"52,963";
"18/04/2018  19:06:56";"52,770";
"18/04/2018  21:04:56";"52,655";
"18/04/2018  23:04:56";"52,770";
